metagenome	source	domain	phylum	class	order	family	genus	species	abundance	avg eValue	avg % ident	avg align len	# hits	
4640044.3	M5RNA	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides acidifaciens	4	-21.75	100.00	51.50	2	
4640037.3	M5RNA	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides acidifaciens	45	-21.00	100.00	51.00	1	
4640040.3	M5RNA	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides acidifaciens	56	-21.57	100.00	51.57	2	
4640031.3	M5RNA	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides acidifaciens	22	-21.00	100.00	51.00	1	
4640042.3	M5RNA	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides acidifaciens	96	-21.01	100.00	51.01	2	
4640045.3	M5RNA	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides acidifaciens	2	-21.50	100.00	51.00	2	
4640043.3	M5RNA	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides acidifaciens	7	-21.14	100.00	50.29	2	
4640032.3	M5RNA	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides acidifaciens	2	-21.50	100.00	51.50	2	
4640033.3	M5RNA	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides acidifaciens	4	-21.00	100.00	50.00	1	
4640044.3	M5RNA	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides barnesiae	8	-21.00	100.00	50.75	1	
