metagenome	source	domain	phylum	class	order	family	genus	species	abundance	avg eValue	avg % ident	avg align len	# hits
4640044.3	M5RNA	Bacteria	Actinobacteria	Actinobacteria (class)	Actinomycetales	Actinomycetaceae	Trueperella	Trueperella abortisuis	4	-103	99.48	191	1
4640036.3	M5RNA	Bacteria	Actinobacteria	Actinobacteria (class)	Actinomycetales	Actinomycetaceae	Trueperella	Trueperella abortisuis	2	-68	100	130	1
4640037.3	M5RNA	Bacteria	Actinobacteria	Actinobacteria (class)	Actinomycetales	Actinomycetaceae	Trueperella	Trueperella abortisuis	83	-101	99.47	188	1
4640040.3	M5RNA	Bacteria	Actinobacteria	Actinobacteria (class)	Actinomycetales	Actinomycetaceae	Trueperella	Trueperella abortisuis	6	-54	100	107	1
4640031.3	M5RNA	Bacteria	Actinobacteria	Actinobacteria (class)	Actinomycetales	Actinomycetaceae	Trueperella	Trueperella abortisuis	5	-104	100	191	1
4640042.3	M5RNA	Bacteria	Actinobacteria	Actinobacteria (class)	Actinomycetales	Actinomycetaceae	Trueperella	Trueperella abortisuis	29	-54	100	107	1
4640043.3	M5RNA	Bacteria	Actinobacteria	Actinobacteria (class)	Actinomycetales	Actinomycetaceae	Trueperella	Trueperella abortisuis	7	-103	99.48	191	1
4640032.3	M5RNA	Bacteria	Actinobacteria	Actinobacteria (class)	Actinomycetales	Actinomycetaceae	Trueperella	Trueperella abortisuis	6	-95.5	99.57	178.17	1
4640046.3	M5RNA	Bacteria	Actinobacteria	Actinobacteria (class)	Actinomycetales	Actinomycetaceae	Trueperella	Trueperella abortisuis	8	-105	99.48	194	1
4640034.3	M5RNA	Bacteria	Actinobacteria	Actinobacteria (class)	Actinomycetales	Actinomycetaceae	Trueperella	Trueperella abortisuis	6	-103	99.48	191	1
4640033.3	M5RNA	Bacteria	Actinobacteria	Actinobacteria (class)	Actinomycetales	Actinomycetaceae	Trueperella	Trueperella abortisuis	1819	-54.07	100	107.17	1
4640039.3	M5RNA	Bacteria	Actinobacteria	Actinobacteria (class)	Actinomycetales	Actinomycetaceae	Trueperella	Trueperella bonasi	1	-21	100	50	1
4640036.3	M5RNA	Bacteria	Actinobacteria	Actinobacteria (class)	Actinomycetales	Actinomycetaceae	Trueperella	Trueperella bonasi	2	-21	100	50	1
4640033.3	M5RNA	Bacteria	Actinobacteria	Actinobacteria (class)	Actinomycetales	Actinomycetaceae	Trueperella	Trueperella bonasi	1	-21	100	50	1
4640031.3	M5RNA	Bacteria	Actinobacteria	Actinobacteria (class)	Actinomycetales	Catenulisporaceae	Catenulispora	Catenulispora yoronensis	1	-22	100	53	1
4640039.3	M5RNA	Bacteria	Actinobacteria	Actinobacteria (class)	Actinomycetales	Corynebacteriaceae	Corynebacterium	Corynebacterium amycolatum	14	-84	100	156.5	2
4640041.3	M5RNA	Bacteria	Actinobacteria	Actinobacteria (class)	Actinomycetales	Corynebacteriaceae	Corynebacterium	Corynebacterium aurimucosum	6	-135	100	243	1
4640041.3	M5RNA	Bacteria	Actinobacteria	Actinobacteria (class)	Actinomycetales	Corynebacteriaceae	Corynebacterium	Corynebacterium casei	1	-108	100	197	1
4640039.3	M5RNA	Bacteria	Actinobacteria	Actinobacteria (class)	Actinomycetales	Corynebacteriaceae	Corynebacterium	Corynebacterium casei	1	-114	100	208	1
4640038.3	M5RNA	Bacteria	Actinobacteria	Actinobacteria (class)	Actinomycetales	Corynebacteriaceae	Corynebacterium	Corynebacterium casei	142	-114	100	208	1
4640040.3	M5RNA	Bacteria	Actinobacteria	Actinobacteria (class)	Actinomycetales	Corynebacteriaceae	Corynebacterium	Corynebacterium casei	1	-114	100	208	1
4640042.3	M5RNA	Bacteria	Actinobacteria	Actinobacteria (class)	Actinomycetales	Corynebacteriaceae	Corynebacterium	Corynebacterium casei	11	-114	100	208	1
4640041.3	M5RNA	Bacteria	Actinobacteria	Actinobacteria (class)	Actinomycetales	Corynebacteriaceae	Corynebacterium	Corynebacterium glutamicum	1	-80	100	151	1
4640039.3	M5RNA	Bacteria	Actinobacteria	Actinobacteria (class)	Actinomycetales	Corynebacteriaceae	Corynebacterium	Corynebacterium glutamicum	2	-80.5	100	151.5	2
4640038.3	M5RNA	Bacteria	Actinobacteria	Actinobacteria (class)	Actinomycetales	Corynebacteriaceae	Corynebacterium	Corynebacterium glutamicum	47	-45	100	92	1
4640040.3	M5RNA	Bacteria	Actinobacteria	Actinobacteria (class)	Actinomycetales	Corynebacteriaceae	Corynebacterium	Corynebacterium glutamicum	2	-80.5	100	151.5	2
4640030.3	M5RNA	Bacteria	Actinobacteria	Actinobacteria (class)	Actinomycetales	Corynebacteriaceae	Corynebacterium	Corynebacterium riegelii	3	-53	100	104	1
4640044.3	M5RNA	Bacteria	Actinobacteria	Actinobacteria (class)	Actinomycetales	Corynebacteriaceae	Corynebacterium	Corynebacterium riegelii	1	-53	100	104	1
4640042.3	M5RNA	Bacteria	Actinobacteria	Actinobacteria (class)	Actinomycetales	Corynebacteriaceae	Corynebacterium	Corynebacterium riegelii	2	-53	100	104	1
4640041.3	M5RNA	Bacteria	Actinobacteria	Actinobacteria (class)	Actinomycetales	Corynebacteriaceae	Corynebacterium	Corynebacterium sp.	1	-125	100	226	1
4640039.3	M5RNA	Bacteria	Actinobacteria	Actinobacteria (class)	Actinomycetales	Corynebacteriaceae	Corynebacterium	Corynebacterium sp.	1	-131	100	237	1
4640038.3	M5RNA	Bacteria	Actinobacteria	Actinobacteria (class)	Actinomycetales	Corynebacteriaceae	Corynebacterium	Corynebacterium sp.	142	-131	100	237	1
4640040.3	M5RNA	Bacteria	Actinobacteria	Actinobacteria (class)	Actinomycetales	Corynebacteriaceae	Corynebacterium	Corynebacterium sp.	3	-92.33	100	171	3
4640042.3	M5RNA	Bacteria	Actinobacteria	Actinobacteria (class)	Actinomycetales	Corynebacteriaceae	Corynebacterium	Corynebacterium sp.	11	-131	100	237	1
4640033.3	M5RNA	Bacteria	Actinobacteria	Actinobacteria (class)	Actinomycetales	Corynebacteriaceae	Corynebacterium	Corynebacterium sp.	1	-131	100	237	1
4640039.3	M5RNA	Bacteria	Actinobacteria	Actinobacteria (class)	Actinomycetales	Corynebacteriaceae	Corynebacterium	Corynebacterium sp. 1145	1	-131	100	237	1
4640040.3	M5RNA	Bacteria	Actinobacteria	Actinobacteria (class)	Actinomycetales	Corynebacteriaceae	Corynebacterium	Corynebacterium sp. 1145	1	-125	100	226	1
4640039.3	M5RNA	Bacteria	Actinobacteria	Actinobacteria (class)	Actinomycetales	Corynebacteriaceae	Corynebacterium	Corynebacterium sp. 1146	1	-131	100	237	1
4640040.3	M5RNA	Bacteria	Actinobacteria	Actinobacteria (class)	Actinomycetales	Corynebacteriaceae	Corynebacterium	Corynebacterium sp. 1146	1	-125	100	226	1
4640039.3	M5RNA	Bacteria	Actinobacteria	Actinobacteria (class)	Actinomycetales	Corynebacteriaceae	Corynebacterium	Corynebacterium sp. 1147	1	-131	100	237	1
4640040.3	M5RNA	Bacteria	Actinobacteria	Actinobacteria (class)	Actinomycetales	Corynebacteriaceae	Corynebacterium	Corynebacterium sp. 1147	1	-125	100	226	1
4640039.3	M5RNA	Bacteria	Actinobacteria	Actinobacteria (class)	Actinomycetales	Corynebacteriaceae	Corynebacterium	Corynebacterium sp. 1149	1	-131	100	237	1
4640040.3	M5RNA	Bacteria	Actinobacteria	Actinobacteria (class)	Actinomycetales	Corynebacteriaceae	Corynebacterium	Corynebacterium sp. 1149	1	-125	100	226	1
4640039.3	M5RNA	Bacteria	Actinobacteria	Actinobacteria (class)	Actinomycetales	Corynebacteriaceae	Corynebacterium	Corynebacterium sp. 1150	1	-131	100	237	1
4640040.3	M5RNA	Bacteria	Actinobacteria	Actinobacteria (class)	Actinomycetales	Corynebacteriaceae	Corynebacterium	Corynebacterium sp. 1150	1	-125	100	226	1
4640039.3	M5RNA	Bacteria	Actinobacteria	Actinobacteria (class)	Actinomycetales	Corynebacteriaceae	Corynebacterium	Corynebacterium sp. 1151	1	-131	100	237	1
4640040.3	M5RNA	Bacteria	Actinobacteria	Actinobacteria (class)	Actinomycetales	Corynebacteriaceae	Corynebacterium	Corynebacterium sp. 1151	1	-125	100	226	1
4640039.3	M5RNA	Bacteria	Actinobacteria	Actinobacteria (class)	Actinomycetales	Corynebacteriaceae	Corynebacterium	Corynebacterium sp. 1152	1	-131	100	237	1
4640040.3	M5RNA	Bacteria	Actinobacteria	Actinobacteria (class)	Actinomycetales	Corynebacteriaceae	Corynebacterium	Corynebacterium sp. 1152	1	-125	100	226	1
4640039.3	M5RNA	Bacteria	Actinobacteria	Actinobacteria (class)	Actinomycetales	Corynebacteriaceae	Corynebacterium	Corynebacterium sp. 3010	1	-131	100	237	1
4640040.3	M5RNA	Bacteria	Actinobacteria	Actinobacteria (class)	Actinomycetales	Corynebacteriaceae	Corynebacterium	Corynebacterium sp. 3010	1	-125	100	226	1
4640040.3	M5RNA	Bacteria	Actinobacteria	Actinobacteria (class)	Actinomycetales	Corynebacteriaceae	Corynebacterium	Corynebacterium tuberculostearicum	1	-134	100	241	1
4640039.3	M5RNA	Bacteria	Actinobacteria	Actinobacteria (class)	Actinomycetales	Corynebacteriaceae	Corynebacterium	Corynebacterium urealyticum	6	-131.33	99.31	242.33	2
4640039.3	M5RNA	Bacteria	Actinobacteria	Actinobacteria (class)	Actinomycetales	Dermabacteraceae	Brachybacterium	Brachybacterium paraconglomeratum	2	-133	100	239	1
4640044.3	M5RNA	Bacteria	Actinobacteria	Actinobacteria (class)	Actinomycetales	Dermabacteraceae	Brachybacterium	Brachybacterium paraconglomeratum	1	-36	100	76	1
4640040.3	M5RNA	Bacteria	Actinobacteria	Actinobacteria (class)	Actinomycetales	Dermacoccaceae	Dermacoccus	Dermacoccus sp. Ellin185	1	-23	100	54	1
4640039.3	M5RNA	Bacteria	Actinobacteria	Actinobacteria (class)	Actinomycetales	Dietziaceae	Dietzia	Dietzia maris	1	-130	99.58	239	1
4640032.3	M5RNA	Bacteria	Actinobacteria	Actinobacteria (class)	Actinomycetales	Geodermatophilaceae	Geodermatophilus	Geodermatophilus obscurus	3	-53	100	104	1
4640033.3	M5RNA	Bacteria	Actinobacteria	Actinobacteria (class)	Actinomycetales	Intrasporangiaceae	Tetrasphaera	Tetrasphaera japonica	5	-44	100	89	1
4640040.3	M5RNA	Bacteria	Actinobacteria	Actinobacteria (class)	Actinomycetales	Microbacteriaceae	Mycetocola	Mycetocola saprophilus	1	-21	100	50	1
4640033.3	M5RNA	Bacteria	Actinobacteria	Actinobacteria (class)	Actinomycetales	Microbacteriaceae	Mycetocola	Mycetocola saprophilus	1	-47	100	94	1
4640037.3	M5RNA	Bacteria	Actinobacteria	Actinobacteria (class)	Actinomycetales	Microbacteriaceae	Rathayibacter	Rathayibacter rathayi	13	-51	100	102	1
4640040.3	M5RNA	Bacteria	Actinobacteria	Actinobacteria (class)	Actinomycetales	Micrococcaceae	Arthrobacter	Arthrobacter keyseri	1	-110	99.5	202	1
4640041.3	M5RNA	Bacteria	Actinobacteria	Actinobacteria (class)	Actinomycetales	Micrococcaceae	Arthrobacter	Arthrobacter oxydans	1	-69	100	132	1
4640041.3	M5RNA	Bacteria	Actinobacteria	Actinobacteria (class)	Actinomycetales	Micrococcaceae	Arthrobacter	Arthrobacter ramosus	1	-80	99.34	152	1
4640041.3	M5RNA	Bacteria	Actinobacteria	Actinobacteria (class)	Actinomycetales	Micrococcaceae	Arthrobacter	Arthrobacter sp. FG1	1	-80	99.34	152	1
4640042.3	M5RNA	Bacteria	Actinobacteria	Actinobacteria (class)	Actinomycetales	Micrococcaceae	Kocuria	Kocuria rosea	1	-44	100	90	1
4640038.3	M5RNA	Bacteria	Actinobacteria	Actinobacteria (class)	Actinomycetales	Micrococcaceae	Kocuria	Kocuria sp. JL-51	1	-122	100	221	1
4640040.3	M5RNA	Bacteria	Actinobacteria	Actinobacteria (class)	Actinomycetales	Micrococcaceae	Kocuria	Kocuria sp. JL-51	1	-133	100	240	1
4640041.3	M5RNA	Bacteria	Actinobacteria	Actinobacteria (class)	Actinomycetales	Micrococcaceae	Micrococcus	Micrococcus luteus	1	-135	100	243	1
4640039.3	M5RNA	Bacteria	Actinobacteria	Actinobacteria (class)	Actinomycetales	Micrococcaceae	Micrococcus	Micrococcus luteus	11	-132	99.18	245	1
4640040.3	M5RNA	Bacteria	Actinobacteria	Actinobacteria (class)	Actinomycetales	Micrococcaceae	Micrococcus	Micrococcus luteus	1	-135	100	243	1
4640042.3	M5RNA	Bacteria	Actinobacteria	Actinobacteria (class)	Actinomycetales	Micrococcaceae	Micrococcus	Micrococcus lylae	1	-52	99.04	104	1
4640043.3	M5RNA	Bacteria	Actinobacteria	Actinobacteria (class)	Actinomycetales	Micrococcaceae	Rothia	Rothia mucilaginosa	8	-134	100	242	1
4640042.3	M5RNA	Bacteria	Actinobacteria	Actinobacteria (class)	Actinomycetales	Mycobacteriaceae	Mycobacterium	Mycobacterium asiaticum	3	-81	99.34	152	1
4640038.3	M5RNA	Bacteria	Actinobacteria	Actinobacteria (class)	Actinomycetales	Mycobacteriaceae	Mycobacterium	Mycobacterium hassiacum	4	-55	100	107	1
4640041.3	M5RNA	Bacteria	Actinobacteria	Actinobacteria (class)	Actinomycetales	Nocardiaceae	Nocardia	Nocardia sp. H17-1	1	-133	100	239	1
4640039.3	M5RNA	Bacteria	Actinobacteria	Actinobacteria (class)	Actinomycetales	Nocardiaceae	Nocardia	Nocardia sp. H17-1	15	-132	99.58	239	1
4640040.3	M5RNA	Bacteria	Actinobacteria	Actinobacteria (class)	Actinomycetales	Nocardiaceae	Rhodococcus	Rhodococcus erythropolis	1	-119	100	217	1
4640033.3	M5RNA	Bacteria	Actinobacteria	Actinobacteria (class)	Actinomycetales	Nocardioidaceae	Nocardioides	Nocardioides sp.	1	-51	100	101	1
4640033.3	M5RNA	Bacteria	Actinobacteria	Actinobacteria (class)	Actinomycetales	Nocardioidaceae	Nocardioides	Nocardioides sp. CF8	8	-52	100	103	1
4640033.3	M5RNA	Bacteria	Actinobacteria	Actinobacteria (class)	Actinomycetales	Nocardioidaceae	Nocardioides	Nocardioides sp. JS614	4	-61	99.16	119	1
4640044.3	M5RNA	Bacteria	Actinobacteria	Actinobacteria (class)	Actinomycetales	Nocardioidaceae	Pimelobacter	Pimelobacter simplex	1	-52	99.04	104	1
4640033.3	M5RNA	Bacteria	Actinobacteria	Actinobacteria (class)	Actinomycetales	Nocardioidaceae	Pimelobacter	Pimelobacter simplex	4	-52	99.04	104	1
4640038.3	M5RNA	Bacteria	Actinobacteria	Actinobacteria (class)	Actinomycetales	Propionibacteriaceae	Propionibacterium	Propionibacterium acnes	30	-133	100	239	1
4640044.3	M5RNA	Bacteria	Actinobacteria	Actinobacteria (class)	Actinomycetales	Propionibacteriaceae	Propionibacterium	Propionibacterium acnes	3	-133	100	239	1
4640040.3	M5RNA	Bacteria	Actinobacteria	Actinobacteria (class)	Actinomycetales	Propionibacteriaceae	Propionibacterium	Propionibacterium acnes	1	-133	100	239	1
4640042.3	M5RNA	Bacteria	Actinobacteria	Actinobacteria (class)	Actinomycetales	Propionibacteriaceae	Propionibacterium	Propionibacterium acnes	1	-133	100	239	1
4640043.3	M5RNA	Bacteria	Actinobacteria	Actinobacteria (class)	Actinomycetales	Propionibacteriaceae	Propionibacterium	Propionibacterium acnes	9	-133	100	239	1
4640046.3	M5RNA	Bacteria	Actinobacteria	Actinobacteria (class)	Actinomycetales	Propionibacteriaceae	Propionibacterium	Propionibacterium acnes	5	-107	100	196	1
4640033.3	M5RNA	Bacteria	Actinobacteria	Actinobacteria (class)	Actinomycetales	Propionibacteriaceae	Propionibacterium	Propionibacterium acnes	62	-115	99.25	215.67	2
4640041.3	M5RNA	Bacteria	Actinobacteria	Actinobacteria (class)	Actinomycetales	Pseudonocardiaceae	Pseudonocardia	Pseudonocardia saturnea	1	-79	100	148	1
4640039.3	M5RNA	Bacteria	Actinobacteria	Actinobacteria (class)	Actinomycetales	Pseudonocardiaceae	Pseudonocardia	Pseudonocardia saturnea	2	-79	100	148	1
4640042.3	M5RNA	Bacteria	Actinobacteria	Actinobacteria (class)	Actinomycetales	Thermomonosporaceae	Actinomadura	Actinomadura formosensis	3	-36	100	75	1
4640042.3	M5RNA	Bacteria	Actinobacteria	Actinobacteria (class)	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium pseudolongum	8	-124	100	224	1
4640030.3	M5RNA	Bacteria	Actinobacteria	Actinobacteria (class)	Coriobacteriales	Coriobacteriaceae	Atopobium	Atopobium minutum	3	-25	100	58	1
4640031.3	M5RNA	Bacteria	Actinobacteria	Actinobacteria (class)	Coriobacteriales	Coriobacteriaceae	Atopobium	Atopobium minutum	5	-25	100	58	1
4640042.3	M5RNA	Bacteria	Actinobacteria	Actinobacteria (class)	Coriobacteriales	Coriobacteriaceae	Atopobium	Atopobium minutum	1	-23	100	54	1
4640034.3	M5RNA	Bacteria	Actinobacteria	Actinobacteria (class)	Coriobacteriales	Coriobacteriaceae	Atopobium	Atopobium minutum	1	-25	100	58	1
4640030.3	M5RNA	Bacteria	Actinobacteria	Actinobacteria (class)	Coriobacteriales	Coriobacteriaceae	Atopobium	Atopobium rimae	3	-29	100	65	1
4640038.3	M5RNA	Bacteria	Actinobacteria	Actinobacteria (class)	Coriobacteriales	Coriobacteriaceae	Atopobium	Atopobium rimae	1	-58	100	113	1
4640031.3	M5RNA	Bacteria	Actinobacteria	Actinobacteria (class)	Coriobacteriales	Coriobacteriaceae	Atopobium	Atopobium rimae	5	-29	100	65	1
4640042.3	M5RNA	Bacteria	Actinobacteria	Actinobacteria (class)	Coriobacteriales	Coriobacteriaceae	Atopobium	Atopobium rimae	1	-29	100	65	1
4640034.3	M5RNA	Bacteria	Actinobacteria	Actinobacteria (class)	Coriobacteriales	Coriobacteriaceae	Atopobium	Atopobium rimae	1	-29	100	65	1
4640038.3	M5RNA	Bacteria	Actinobacteria	Actinobacteria (class)	Coriobacteriales	Coriobacteriaceae	Atopobium	Atopobium vaginae	1	-21	100	51	1
4640030.3	M5RNA	Bacteria	Actinobacteria	Actinobacteria (class)	Coriobacteriales	Coriobacteriaceae	Eggerthella	Eggerthella lenta	3	-24	100	56	1
4640031.3	M5RNA	Bacteria	Actinobacteria	Actinobacteria (class)	Coriobacteriales	Coriobacteriaceae	Eggerthella	Eggerthella lenta	1	-24	100	56	1
4640036.3	M5RNA	Bacteria	Actinobacteria	Actinobacteria (class)	Coriobacteriales	Coriobacteriaceae	Gordonibacter	Gordonibacter pamelaeae	64	-28	100	63	2
4640034.3	M5RNA	Bacteria	Actinobacteria	Actinobacteria (class)	Coriobacteriales	Coriobacteriaceae	Gordonibacter	Gordonibacter pamelaeae	4	-28	100	63	2
4640033.3	M5RNA	Bacteria	Actinobacteria	Actinobacteria (class)	Coriobacteriales	Coriobacteriaceae	Gordonibacter	Gordonibacter pamelaeae	838	-28	100	63	2
4640030.3	M5RNA	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides acidifaciens	245	-21	100	51	1
4640039.3	M5RNA	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides acidifaciens	2	-22	100	52	1
4640044.3	M5RNA	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides acidifaciens	4	-21.75	100	51.5	2
4640037.3	M5RNA	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides acidifaciens	45	-21	100	51	1
4640040.3	M5RNA	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides acidifaciens	56	-21.57	100	51.57	2
4640031.3	M5RNA	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides acidifaciens	22	-21	100	51	1
4640042.3	M5RNA	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides acidifaciens	96	-21.01	100	51.01	2
4640045.3	M5RNA	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides acidifaciens	2	-21.5	100	51	2
4640043.3	M5RNA	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides acidifaciens	7	-21.14	100	50.29	2
4640032.3	M5RNA	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides acidifaciens	2	-21.5	100	51.5	2
4640033.3	M5RNA	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides acidifaciens	4	-21	100	50	1
4640044.3	M5RNA	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides barnesiae	8	-21	100	50.75	1
4640036.3	M5RNA	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides barnesiae	1	-22	100	52	1
4640030.3	M5RNA	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides clarus	1	-21	100	51	1
4640031.3	M5RNA	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides clarus	1	-21	100	51	1
4640034.3	M5RNA	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides clarus	1	-21	100	50	1
4640030.3	M5RNA	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides dorei	285	-30	100	66	1
4640039.3	M5RNA	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides dorei	36	-30	100	66	1
4640036.3	M5RNA	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides dorei	4	-30	100	66	1
4640037.3	M5RNA	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides dorei	1	-30	100	66	1
4640040.3	M5RNA	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides dorei	2	-30	100	66	1
4640031.3	M5RNA	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides dorei	30	-30	100	66	1
4640032.3	M5RNA	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides dorei	391	-30	100	66	1
4640034.3	M5RNA	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides dorei	17	-30	100	66	1
4640033.3	M5RNA	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides dorei	28	-30	100	66	1
4640030.3	M5RNA	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides fragilis	2	-129	100	235	1
4640031.3	M5RNA	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides fragilis	2	-139	100	251	2
4640030.3	M5RNA	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides gallinarum	64	-21	100	51	1
4640036.3	M5RNA	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides gallinarum	10	-21	100	51	1
4640040.3	M5RNA	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides gallinarum	1	-21	100	51	1
4640045.3	M5RNA	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides gallinarum	32	-21	100	51	1
4640032.3	M5RNA	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides gallinarum	13	-21	100	51	1
4640034.3	M5RNA	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides gallinarum	460	-21	100	51	1
